City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
339,la primavera,5.4906,-70.4092,27.46,69,100,4.56,CO,1681259545
340,dmitriyevka,54.75,55.3333,-4.25,67,0,2.89,RU,1681259545
341,dawei,14.0833,98.2,27.4,77,70,0.39,MM,1681259546
342,agde,43.3108,3.4758,13.27,81,0,0.51,FR,1681259546
343,mangaratiba,-22.9597,-44.0406,23.48,85,10,1.64,BR,1681259547
344,palmer,42.1584,-72.3287,20.34,20,75,5.66,US,1681259547
345,casablanca,33.5928,-7.6192,16.12,77,0,1.6,MA,1681259510
346,ahipara,-35.1667,173.1667,19.59,84,36,4.96,NZ,1681259548
347,seoul,37.5683,126.9778,11.76,20,0,3.09,KR,1681259463
348,santa rosa,14.3122,121.1114,27.99,78,100,1.46,PH,1681259549
349,kungurtug,50.5994,97.5228,-2.13,80,100,0.57,RU,1681259549
350,manuk mangkaw,4.8,119.85,27.92,76,14,4.2,PH,1681259550
351,laguna,38.421,-121.4238,24.13,47,0,6.17,US,1681259550
352,kavieng,-2.5744,150.7967,28.89,71,83,6.05,PG,1681259551
353,awbari,26.5921,12.7805,15.77,25,65,5.44,LY,1681259264
354,chepen,-7.2167,-79.45,26.98,69,100,3.53,PE,1681259552
355,correntina,-13.3433,-44.6367,21.82,74,14,1.35,BR,1681259553
356,mayo,38.8876,-76.5119,21.97,55,0,4.63,US,1681259470
357,potosi,-19.5836,-65.7531,9.37,60,98,1.41,BO,1681259554
358,rivadavia,-33.1905,-68.4608,21.46,54,57,9.79,AR,1681259554
359,kavaratti,10.5669,72.642,28.61,74,12,3.32,IN,1681259554
360,camacha,33.0833,-16.3333,15.68,72,40,2.06,PT,1681259296
361,agara,42.0376,43.8238,11.49,81,100,2.68,GE,1681259555
362,ambanja,-13.6833,48.45,23.07,93,97,1.63,MG,1681259557
